id	filename	md5	size	state
476c323f-4a20-41a3-91b3-7c9a81b4fbc1	476c323f-4a20-41a3-91b3-7c9a81b4fbc1/16d06971-fbf9-4b5f-b119-2816c48bcfb7.rna_seq.augmented_star_gene_counts.tsv	c78635fef039eb258290c71e92a5d3ba	4222885	validated
61f028d1-e7ba-423d-b610-9cd1229d110e	61f028d1-e7ba-423d-b610-9cd1229d110e/4378234d-05a9-4d4f-97fc-916698728a4f.rna_seq.augmented_star_gene_counts.tsv	c620e7e6cc404740384300fcc3cdbc11	4238568	validated
d7e635d5-7330-491c-986c-f2737ec5d7bd	d7e635d5-7330-491c-986c-f2737ec5d7bd/9953447a-4d33-4a53-8395-4ac0fa67ed42.rna_seq.augmented_star_gene_counts.tsv	8bb79e974bf135135ec932767dddc33a	4216473	validated
be7803e0-0af4-43d1-8cc3-0c309c44a275	be7803e0-0af4-43d1-8cc3-0c309c44a275/240642e8-0f62-406f-bc13-9b3e49e0c510.rna_seq.augmented_star_gene_counts.tsv	8ee3e1ead0286b1e1704783650b85227	4228957	validated
c00ab5e4-51b3-4dc3-ae27-106496e90687	c00ab5e4-51b3-4dc3-ae27-106496e90687/fc8cc23a-6b02-4a99-a6d7-5c01b85fa0d1.rna_seq.augmented_star_gene_counts.tsv	596956377bd7f238cab5fc4e6f638275	4195709	validated
8c797f41-9dea-4121-8dc3-8b1fa10503a7	8c797f41-9dea-4121-8dc3-8b1fa10503a7/fc47ffc6-4a8e-446e-91d9-e983362c6dfe.rna_seq.augmented_star_gene_counts.tsv	7274a1720c81cb9f88503953d743243f	4213362	validated
66228099-939e-4131-8d31-98d18c51c9e9	66228099-939e-4131-8d31-98d18c51c9e9/2f237fc7-63d6-4043-8959-a4c8cf146834.rna_seq.augmented_star_gene_counts.tsv	2eebf5e197b35bdf04c5a4405345f36d	4235742	validated
f3cc686f-c4e3-4d83-839c-dcb2f71ab9f7	f3cc686f-c4e3-4d83-839c-dcb2f71ab9f7/7db97dea-5d1e-4a8a-be9c-4e0ab324c4ae.rna_seq.augmented_star_gene_counts.tsv	eb90eb61809d0dbe189f56dc66251b1c	4227849	validated
d425acd5-869a-4c71-ba4a-4871f07d8b24	d425acd5-869a-4c71-ba4a-4871f07d8b24/26ef8329-84d1-4510-93a7-82c42895e1a3.rna_seq.augmented_star_gene_counts.tsv	de63a2e85769b9383b4bcf65d946596f	4235276	validated
6080f1ab-a146-4ba7-8ca2-99204039f8e5	6080f1ab-a146-4ba7-8ca2-99204039f8e5/151ff5a0-f236-4b98-a57f-d75dbde755ab.rna_seq.augmented_star_gene_counts.tsv	1d37d73ad2471d26ef377c11931f42e5	4229499	validated
290ba806-3ade-4706-9c9b-10d571765187	290ba806-3ade-4706-9c9b-10d571765187/9262c029-3b86-4582-82a1-ace640871d9c.rna_seq.augmented_star_gene_counts.tsv	534392f443b4ec33d40196a3af4b7266	4219331	validated
afd5435d-07a2-4c95-b2b6-4a02c2a79d9c	afd5435d-07a2-4c95-b2b6-4a02c2a79d9c/d93bb6e9-c535-4deb-9207-18a728f80c31.rna_seq.augmented_star_gene_counts.tsv	5a54eb1c1b005c0a232d675084365557	4190276	validated
8088cd3e-c3dc-45dc-8b66-637ada8ef440	8088cd3e-c3dc-45dc-8b66-637ada8ef440/4bc57c95-5c4e-4aad-a05a-ab5fafd76a1d.rna_seq.augmented_star_gene_counts.tsv	6409cc320ce9d6d2f37650a3699c92d2	4196683	validated
c1566f1c-3b79-4803-8a62-23de06619811	c1566f1c-3b79-4803-8a62-23de06619811/e5ec55da-630f-406e-b561-399fd081e43d.rna_seq.augmented_star_gene_counts.tsv	e665fb3b32ea06ff873186829c4f0f52	4211503	validated
cdca623f-7431-4d68-b54d-f2fd13ecfbf9	cdca623f-7431-4d68-b54d-f2fd13ecfbf9/e2288704-0fb1-41cc-82f8-b73e41ebb576.rna_seq.augmented_star_gene_counts.tsv	0d8d36d1e4e5722474bb20a6fe5f11b7	4219591	validated
51d8982b-ade8-4cd7-83c2-bb32eeff4c8a	51d8982b-ade8-4cd7-83c2-bb32eeff4c8a/be150892-6890-4414-9f4d-aeda4ee38708.rna_seq.augmented_star_gene_counts.tsv	2a508eb7ba01193b75fa493b2526b3ed	4218507	validated
c5a36c36-b9eb-4d09-94bd-9b7b6b0b992e	c5a36c36-b9eb-4d09-94bd-9b7b6b0b992e/d6cf34c3-a7ad-4dfd-92ee-b2b689515471.rna_seq.augmented_star_gene_counts.tsv	57f7dd85b3636cf511a69f215c99b925	4203091	validated
9fa7d342-2062-4a94-8cdf-928b86b98c5b	9fa7d342-2062-4a94-8cdf-928b86b98c5b/c5ac862b-ef1c-4299-9afb-99d5f0e52fdc.rna_seq.augmented_star_gene_counts.tsv	1636e36e8d2eb69e573c62c5f0e55714	4225694	validated
1994b978-6d9f-4f05-b88d-a6cebeabd19c	1994b978-6d9f-4f05-b88d-a6cebeabd19c/9aa968ad-63fa-4db4-97b8-042cdbb6b459.rna_seq.augmented_star_gene_counts.tsv	b9db28e2806408fd8f6aff9ed8ee0a13	4219151	validated
ac75e490-0291-4133-92aa-ac4d330f58cf	ac75e490-0291-4133-92aa-ac4d330f58cf/82ea8208-db0e-4f7c-ac6b-1b7b48e6d671.rna_seq.augmented_star_gene_counts.tsv	04f500ef8b6f78c1ec6cfa5b645d4678	4206119	validated
35f067e5-fde1-4793-8d6b-d9ddd951b7c5	35f067e5-fde1-4793-8d6b-d9ddd951b7c5/c74b62ad-52f4-4488-8628-ffc88df5d1bf.rna_seq.augmented_star_gene_counts.tsv	77ec78b416b2e80c9b4e915c6a804d47	4208246	validated
4a217865-bbc4-4d8d-ba04-cb53bcd6d208	4a217865-bbc4-4d8d-ba04-cb53bcd6d208/a7fe211e-d6ca-48d3-80dc-06848c934aa7.rna_seq.augmented_star_gene_counts.tsv	ceaace32e2b401bf02156c885086f622	4200881	validated
5771eb80-eb56-4014-bf86-0212b686330e	5771eb80-eb56-4014-bf86-0212b686330e/63bfa71f-f558-452b-8ff5-68d5bd25cf56.rna_seq.augmented_star_gene_counts.tsv	f0a750ebf44d64cd2a5ea5c1c049f764	4210641	validated
bd469f11-1e6e-4ae5-9da4-09fe0fcdde41	bd469f11-1e6e-4ae5-9da4-09fe0fcdde41/4586df36-efce-4c32-8788-6789935fdcc5.rna_seq.augmented_star_gene_counts.tsv	5ae873b06b51fe1eb464a3a2896f6d19	4223261	validated
